// 蓝箱开出物品资料
//
// Structure of Database:
// 群组编号,物品编号,机率

1,501,12	//红色药水
1,502,12	//赤色药水
1,503,12	//黄色药水
1,504,12	//白色药水
1,505,12	//蓝色药水
1,506,12	//绿色药水
1,507,12	//红色药草
1,508,12	//黄色药草
1,509,12	//白色药草
1,510,12	//蓝色药草
1,511,12	//绿色药草
1,512,12	//苹果
1,513,12	//香蕉
1,514,12	//葡萄
1,515,12	//红萝卜
1,516,12	//蕃薯
1,517,12	//肉
1,518,12	//蜂蜜
1,519,12	//牛奶
1,520,12	//西纳雷叶子
1,521,12	//芦荟叶子
1,522,12	//玛丝黛拉果实
1,523,12	//圣水
1,525,12	//万能药
1,526,12	//蜂胶
1,528,12	//魔物饲料
1,529,12	//糖果
1,530,12	//柺杖糖
1,531,12	//苹果汁
1,532,12	//香蕉汁
1,533,12	//葡萄汁
1,534,12	//红萝卜汁
1,535,12	//南瓜
1,536,12	//霜淇淋
1,537,12	//宠物饲料
1,538,12	//姜饼
1,539,12	//小蛋糕
1,544,12	//生鱼片
1,545,12	//红色纤细药水
1,546,12	//黄色纤细药水
1,547,12	//白色纤细药水
1,548,12	//起士
1,549,12	//美味蕃薯
1,550,12	//仙贝
1,551,12	//明虾寿司
1,553,12	//包子
1,555,12	//糕饼
1,558,12	//巧克力
1,561,12	//白色情人巧克力
1,601,12	//苍蝇翅膀
1,602,12	//蝴蝶翅膀
1,603,1173	//神秘箱子
1,604,512	//枯树枝
1,605,12	//曼特疗伤药
1,606,12	//芦荟汁液
1,607,12	//天地树果实
1,608,12	//天地树芽
1,609,12	//返魂符
1,610,12	//天地树叶子
1,611,12	//放大镜
1,612,12	//携带用熔矿炉
1,613,12	//钢铁锤子
1,614,12	//黄金锤子
1,615,12	//神之金属锤子
1,618,12	//老旧卷轴
1,619,12	//青苹果
1,620,12	//浓缩柳橙汁
1,621,12	//苦味草
1,622,12	//彩色红萝卜
1,623,12	//变态蚯蚓
1,624,12	//腐臭之鱼
1,625,12	//锈铁
1,626,12	//魔物饮料
1,627,12	//魔物牛奶
1,628,12	//营养大骨
1,629,12	//呢喃花
1,630,12	//青苔
1,631,12	//青嫩毒草
1,632,12	//营养蚯蚓
1,633,12	//魔物番薯
1,634,12	//魔物香蕉
1,635,12	//魔物之证
1,636,12	//魔物信件
1,637,12	//魔物扫把
1,638,12	//纯洁银刃
1,639,12	//驯服手镯
1,640,12	//闪烁之石
1,641,12	//黑暗合约书
1,642,12	//恶魔召唤书
1,643,12	//携带用孵蛋器
1,644,312	//礼物箱
1,645,12	//集中药水
1,656,12	//觉醒药水
1,657,12	//菠色克药水
1,659,12	//心爱女人之回忆
1,663,12	//年糕
1,664,12	//礼盒
1,665,12	//礼盒
1,666,12	//礼盒
1,667,12	//礼盒
1,668,12	//红包
1,678,12	//毒药瓶
1,679,12	//召还丹
1,701,12	//欧拉欧拉
1,702,12	//家畜血
1,703,12	//西纳雷花
1,704,12	//芦荟
1,705,12	//三叶幸运草
1,706,12	//四叶幸运草
1,707,12	//哀唱草
1,708,12	//曼特花
1,710,12	//幻想花
1,711,12	//芽苗
1,712,12	//花
1,713,12	//空瓶
1,714,12	//华丽金属
1,715,12	//黄色魔力矿石
1,716,12	//红色魔力矿石
1,717,12	//蓝色魔力矿石
1,718,12	//深红宝石
1,719,12	//紫宝石
1,720,12	//天蓝宝石
1,721,12	//绿宝石
1,722,12	//珍珠
1,723,12	//红宝石
1,724,12	//诅咒红宝石
1,725,12	//大红宝石
1,726,12	//蓝宝石
1,727,12	//白宝石
1,728,12	//黄宝石
1,729,12	//青绿宝石
1,730,12	//1克拉钻石
1,731,12	//2克拉钻石
1,732,12	//3克拉钻石
1,733,12	//受损的钻石
1,734,12	//红色相框
1,735,12	//蓝色陶瓷器
1,736,12	//白色盘子
1,737,12	//黑色杓子
1,738,12	//笔筒
1,739,12	//化妆品
1,740,12	//疯兔娃娃
1,741,12	//波利娃娃
1,742,12	//苍蝇娃娃
1,743,12	//魔菇娃娃
1,744,12	//花束
1,745,12	//捧花
1,746,12	//玻璃珠
1,747,12	//水晶镜子
1,748,12	//永恒玫瑰
1,749,12	//冰雕玫瑰
1,750,12	//巴风特娃娃
1,751,12	//俄塞里斯娃娃
1,752,12	//摇滚蝗虫娃娃
1,753,12	//溜溜猴娃娃
1,754,12	//狸猫娃娃
1,756,12	//神之金属原石
1,757,12	//铝原石
1,901,12	//辫子
1,902,12	//树根
1,903,12	//爬虫类舌头
1,904,12	//蝎子尾巴
1,905,12	//植物梗
1,906,12	//鳞片梗
1,907,12	//枯木汁
1,908,12	//青蛙蛋
1,909,12	//杰勒比结晶
1,910,12	//加勒结晶
1,911,12	//雪勒结晶
1,912,12	//刹勒空结晶
1,913,12	//蝙蝠牙
1,914,12	//毛
1,915,12	//蛹壳
1,916,12	//羽毛
1,917,12	//鸟指甲
1,918,12	//粘糊的蹼
1,919,12	//动物外皮
1,920,12	//狼指甲
1,921,12	//香菇芽孢
1,922,12	//兽人犬齿
1,923,12	//恶魔角
1,924,12	//蝴蝶翅膀粉末
1,925,12	//鸟嘴
1,926,12	//蛇鳞
1,928,12	//昆虫触角
1,929,12	//不死心脏
1,930,12	//腐烂绷带
1,931,12	//兽人战士之证
1,932,12	//死人遗骨
1,934,12	//亡者遗物
1,935,12	//坚硬外壳
